,Date,Chaine,Part_de_marche
0,02 septembre 2014,TF1,31.7
1,02 septembre 2014,France 3,13.7
2,02 septembre 2014,M6,12.4
3,02 septembre 2014,France 2,11.6
4,02 septembre 2014,TMC,4.9
5,02 septembre 2014,France 5,3.4
6,02 septembre 2014,C8,3.1
7,02 septembre 2014,W9,2.2
8,02 septembre 2014,TFX,1.5
9,02 septembre 2014,Arte,1.3
10,02 septembre 2014,France 4,1.2
11,02 septembre 2014,NRJ 12,1.0
12,02 septembre 2014,C Star,0.8
13,02 septembre 2014,France O,0.8
14,02 septembre 2014,Gulli,0.7
15,02 septembre 2014,RMC Story,0.5
16,02 septembre 2014,TF1 Series,0.4
17,02 septembre 2014,RMC Decouverte,0.3
18,02 septembre 2014,6ter,0.2
19,03 septembre 2014,TF1,27.8
20,03 septembre 2014,France 2,12.0
21,03 septembre 2014,M6,11.8
22,03 septembre 2014,France 3,11.6
23,03 septembre 2014,TMC,3.6
24,03 septembre 2014,C8,2.7
25,03 septembre 2014,France 4,2.2
26,03 septembre 2014,France 5,2.2
27,03 septembre 2014,Arte,2.2
28,03 septembre 2014,C Star,2.1
29,03 septembre 2014,TFX,2.0
30,03 septembre 2014,Gulli,1.9
31,03 septembre 2014,RMC Decouverte,1.4
32,03 septembre 2014,W9,1.4
33,03 septembre 2014,NRJ 12,1.4
34,03 septembre 2014,TF1 Series,1.2
35,03 septembre 2014,6ter,0.7
36,03 septembre 2014,France O,0.4
37,03 septembre 2014,RMC Story,0.2
38,04 septembre 2014,TF1,28.2
39,04 septembre 2014,France 3,13.8
40,04 septembre 2014,M6,10.9
41,04 septembre 2014,France 2,10.2
42,04 septembre 2014,C8,6.1
43,04 septembre 2014,TFX,3.3
44,04 septembre 2014,W9,3.1
45,04 septembre 2014,Arte,2.3
46,04 septembre 2014,C Star,2.1
47,04 septembre 2014,NRJ 12,2.1
48,04 septembre 2014,TMC,2.0
49,04 septembre 2014,France 4,2.0
50,04 septembre 2014,France 5,1.4
51,04 septembre 2014,France O,1.1
52,04 septembre 2014,RMC Story,1.1
53,04 septembre 2014,Gulli,0.9
54,04 septembre 2014,RMC Decouverte,0.8
55,04 septembre 2014,TF1 Series,0.6
56,04 septembre 2014,6ter,0.5
57,07 septembre 2014,TF1,23.2
58,07 septembre 2014,M6,15.5
59,07 septembre 2014,France 2,11.6
60,07 septembre 2014,France 3,9.6
61,07 septembre 2014,Arte,6.1
62,07 septembre 2014,C8,5.4
63,07 septembre 2014,TMC,4.2
64,07 septembre 2014,France 5,3.8
65,07 septembre 2014,W9,3.3
66,07 septembre 2014,6ter,2.0
67,07 septembre 2014,France 4,1.9
68,07 septembre 2014,NRJ 12,1.5
69,07 septembre 2014,France O,1.4
70,07 septembre 2014,TF1 Series,1.3
71,07 septembre 2014,TFX,1.1
72,07 septembre 2014,C Star,0.6
73,07 septembre 2014,Gulli,0.5
74,07 septembre 2014,RMC Story,0.4
75,07 septembre 2014,RMC Decouverte,0.3
76,08 septembre 2014,M6,26.8
77,08 septembre 2014,TF1,20.6
78,08 septembre 2014,France 2,18.7
79,08 septembre 2014,France 3,7.0
80,08 septembre 2014,TMC,5.3
81,08 septembre 2014,W9,3.6
82,08 septembre 2014,C8,3.6
83,08 septembre 2014,TFX,2.7
84,08 septembre 2014,France 5,1.7
85,08 septembre 2014,Arte,1.6
86,08 septembre 2014,C Star,1.6
87,08 septembre 2014,NRJ 12,1.5
88,08 septembre 2014,France 4,1.0
89,08 septembre 2014,France O,0.9
90,08 septembre 2014,TF1 Series,0.9
91,08 septembre 2014,Gulli,0.7
92,08 septembre 2014,RMC Decouverte,0.7
93,08 septembre 2014,6ter,0.4
94,08 septembre 2014,RMC Story,0.2
95,09 septembre 2014,TF1,31.0
96,09 septembre 2014,France 2,13.7
97,09 septembre 2014,France 3,11.7
98,09 septembre 2014,M6,10.9
99,09 septembre 2014,France 5,4.8
100,09 septembre 2014,TMC,3.5
101,09 septembre 2014,C8,2.7
102,09 septembre 2014,NRJ 12,2.3
103,09 septembre 2014,France 4,2.1
104,09 septembre 2014,TFX,2.1
105,09 septembre 2014,W9,1.8
106,09 septembre 2014,Arte,1.4
107,09 septembre 2014,C Star,1.1
108,09 septembre 2014,RMC Decouverte,0.9
109,09 septembre 2014,RMC Story,0.9
110,09 septembre 2014,TF1 Series,0.8
111,09 septembre 2014,France O,0.6
112,09 septembre 2014,Gulli,0.6
113,09 septembre 2014,6ter,0.4
114,10 septembre 2014,TF1,25.7
115,10 septembre 2014,M6,13.3
116,10 septembre 2014,France 2,11.6
117,10 septembre 2014,France 3,8.7
118,10 septembre 2014,C8,4.2
119,10 septembre 2014,France 4,3.9
120,10 septembre 2014,W9,3.4
121,10 septembre 2014,TMC,2.7
122,10 septembre 2014,France 5,2.6
123,10 septembre 2014,TFX,2.3
124,10 septembre 2014,Arte,2.2
125,10 septembre 2014,Gulli,2.0
126,10 septembre 2014,TF1 Series,1.5
127,10 septembre 2014,RMC Decouverte,1.4
128,10 septembre 2014,C Star,1.4
129,10 septembre 2014,NRJ 12,1.0
130,10 septembre 2014,6ter,0.7
131,10 septembre 2014,France O,0.6
132,10 septembre 2014,RMC Story,0.1
133,12 septembre 2014,TF1,32.2
134,12 septembre 2014,M6,16.7
135,12 septembre 2014,France 2,12.0
136,12 septembre 2014,France 3,8.2
137,12 septembre 2014,C8,2.9
138,12 septembre 2014,Arte,2.8
139,12 septembre 2014,W9,2.8
140,12 septembre 2014,NRJ 12,2.5
141,12 septembre 2014,TMC,2.0
142,12 septembre 2014,France 5,1.9
143,12 septembre 2014,Gulli,1.2
144,12 septembre 2014,France 4,1.1
145,12 septembre 2014,TFX,1.0
146,12 septembre 2014,RMC Decouverte,1.0
147,12 septembre 2014,C Star,0.9
148,12 septembre 2014,RMC Story,0.7
149,12 septembre 2014,TF1 Series,0.6
150,12 septembre 2014,France O,0.4
151,12 septembre 2014,6ter,0.4
152,13 septembre 2014,TF1,28.3
153,13 septembre 2014,France 2,14.6
154,13 septembre 2014,France 3,13.7
155,13 septembre 2014,M6,8.9
156,13 septembre 2014,France 5,4.6
157,13 septembre 2014,Gulli,2.8
158,13 septembre 2014,TMC,2.5
159,13 septembre 2014,C8,2.5
160,13 septembre 2014,W9,2.0
161,13 septembre 2014,Arte,2.0
162,13 septembre 2014,TFX,1.8
163,13 septembre 2014,France 4,1.7
164,13 septembre 2014,NRJ 12,1.1
165,13 septembre 2014,TF1 Series,0.9
166,13 septembre 2014,C Star,0.9
167,13 septembre 2014,France O,0.7
168,13 septembre 2014,6ter,0.7
169,13 septembre 2014,RMC Decouverte,0.6
170,13 septembre 2014,RMC Story,0.5
171,14 septembre 2014,TF1,24.0
172,14 septembre 2014,France 3,13.9
173,14 septembre 2014,France 2,11.6
174,14 septembre 2014,M6,11.1
175,14 septembre 2014,France 4,4.5
176,14 septembre 2014,France 5,3.2
177,14 septembre 2014,TMC,2.7
178,14 septembre 2014,Arte,2.7
179,14 septembre 2014,TF1 Series,2.5
180,14 septembre 2014,W9,2.2
181,14 septembre 2014,6ter,1.7
182,14 septembre 2014,NRJ 12,1.7
183,14 septembre 2014,C Star,1.5
184,14 septembre 2014,C8,1.5
185,14 septembre 2014,France O,1.2
186,14 septembre 2014,TFX,1.2
187,14 septembre 2014,RMC Story,1.0
188,14 septembre 2014,Gulli,0.9
189,14 septembre 2014,RMC Decouverte,0.7
190,15 septembre 2014,M6,25.3
191,15 septembre 2014,TF1,21.9
192,15 septembre 2014,France 2,17.9
193,15 septembre 2014,W9,5.3
194,15 septembre 2014,France 3,4.8
195,15 septembre 2014,France 5,4.1
196,15 septembre 2014,TMC,3.5
197,15 septembre 2014,Arte,3.4
198,15 septembre 2014,C8,2.1
199,15 septembre 2014,NRJ 12,1.7
200,15 septembre 2014,France O,1.6
201,15 septembre 2014,C Star,1.3
202,15 septembre 2014,France 4,1.2
203,15 septembre 2014,TFX,1.0
204,15 septembre 2014,Gulli,0.8
205,15 septembre 2014,TF1 Series,0.8
206,15 septembre 2014,RMC Story,0.7
207,15 septembre 2014,RMC Decouverte,0.6
208,15 septembre 2014,6ter,0.4
209,16 septembre 2014,TF1,31.5
210,16 septembre 2014,France 2,17.0
211,16 septembre 2014,France 3,9.1
212,16 septembre 2014,M6,8.8
213,16 septembre 2014,TMC,5.1
214,16 septembre 2014,C8,4.1
215,16 septembre 2014,France 5,3.4
216,16 septembre 2014,TFX,2.5
217,16 septembre 2014,Arte,2.4
218,16 septembre 2014,NRJ 12,1.8
219,16 septembre 2014,W9,1.7
220,16 septembre 2014,Gulli,1.0
221,16 septembre 2014,France 4,0.7
222,16 septembre 2014,C Star,0.6
223,16 septembre 2014,TF1 Series,0.5
224,16 septembre 2014,RMC Story,0.4
225,16 septembre 2014,France O,0.4
226,16 septembre 2014,6ter,0.4
227,16 septembre 2014,RMC Decouverte,0.2
228,18 septembre 2014,TF1,19.3
229,18 septembre 2014,M6,12.1
230,18 septembre 2014,France 2,11.7
231,18 septembre 2014,France 3,10.1
232,18 septembre 2014,C8,6.4
233,18 septembre 2014,Arte,6.3
234,18 septembre 2014,W9,4.6
235,18 septembre 2014,TMC,4.3
236,18 septembre 2014,TFX,3.3
237,18 septembre 2014,France 4,2.2
238,18 septembre 2014,NRJ 12,2.1
239,18 septembre 2014,Gulli,1.8
240,18 septembre 2014,RMC Story,1.6
241,18 septembre 2014,France 5,1.3
242,18 septembre 2014,France O,0.9
243,18 septembre 2014,C Star,0.9
244,18 septembre 2014,TF1 Series,0.8
245,18 septembre 2014,RMC Decouverte,0.8
246,18 septembre 2014,6ter,0.3
247,19 septembre 2014,TF1,31.4
248,19 septembre 2014,M6,16.4
249,19 septembre 2014,France 2,12.4
250,19 septembre 2014,France 3,9.4
251,19 septembre 2014,C8,3.8
252,19 septembre 2014,Arte,3.1
253,19 septembre 2014,W9,2.9
254,19 septembre 2014,TMC,2.1
255,19 septembre 2014,NRJ 12,1.7
256,19 septembre 2014,France 5,1.5
257,19 septembre 2014,Gulli,1.1
258,19 septembre 2014,RMC Decouverte,1.1
259,19 septembre 2014,France 4,1.1
260,19 septembre 2014,TF1 Series,0.9
261,19 septembre 2014,C Star,0.8
262,19 septembre 2014,TFX,0.8
263,19 septembre 2014,RMC Story,0.5
264,19 septembre 2014,6ter,0.4
265,19 septembre 2014,France O,0.1
266,20 septembre 2014,TF1,30.5
267,20 septembre 2014,France 3,14.3
268,20 septembre 2014,France 2,12.4
269,20 septembre 2014,M6,10.9
270,20 septembre 2014,France 5,3.7
271,20 septembre 2014,Gulli,3.2
272,20 septembre 2014,W9,2.8
273,20 septembre 2014,C8,2.1
274,20 septembre 2014,Arte,2.1
275,20 septembre 2014,France 4,2
276,20 septembre 2014,TMC,1.9
277,20 septembre 2014,NRJ 12,1.4
278,20 septembre 2014,TFX,1.3
279,20 septembre 2014,RMC Decouverte,1.2
280,20 septembre 2014,6ter,0.8
281,20 septembre 2014,C Star,0.8
282,20 septembre 2014,RMC Story,0.6
283,20 septembre 2014,TF1 Series,0.4
284,20 septembre 2014,France O,0.2
285,21 septembre 2014,TF1,21.5
286,21 septembre 2014,France 2,16.1
287,21 septembre 2014,France 3,13.2
288,21 septembre 2014,M6,12.1
289,21 septembre 2014,C8,3.3
290,21 septembre 2014,France 5,2.9
291,21 septembre 2014,W9,2.6
292,21 septembre 2014,TMC,2.2
293,21 septembre 2014,Arte,2.2
294,21 septembre 2014,France 4,1.8
295,21 septembre 2014,NRJ 12,1.8
296,21 septembre 2014,TMC,1
297,21 septembre 2014,RMC Story,1
298,21 septembre 2014,C Star,0.7
299,21 septembre 2014,TF1 Series,0.7
300,21 septembre 2014,6ter,0.6
301,21 septembre 2014,France O,0.5
302,21 septembre 2014,Gulli,0.4
303,21 septembre 2014,RMC Decouverte,0.3
304,22 septembre 2014,TF1,20.7
305,22 septembre 2014,France 2,19.3
306,22 septembre 2014,M6,15.0
307,22 septembre 2014,France 3,6.9
308,22 septembre 2014,TMC,6.0
309,22 septembre 2014,France 5,5.3
310,22 septembre 2014,W9,4.3
311,22 septembre 2014,C8,3.9
312,22 septembre 2014,Arte,2.5
313,22 septembre 2014,NRJ 12,2.2
314,22 septembre 2014,France 4,1.6
315,22 septembre 2014,C Star,1.6
316,22 septembre 2014,Gulli,1.2
317,22 septembre 2014,TFX,1.1
318,22 septembre 2014,TF1 Series,1.1
319,22 septembre 2014,France O,1.1
320,22 septembre 2014,RMC Decouverte,0.7
321,22 septembre 2014,RMC Story,0.4
322,22 septembre 2014,6ter,0.2
323,23 septembre 2014,TF1,29.0
324,23 septembre 2014,"35_"" hr",
325,23 septembre 2014,France 2,20.4
326,23 septembre 2014,M6,12.2
327,23 septembre 2014,France 3,10.2
328,23 septembre 2014,TFX,4.4
329,23 septembre 2014,France 5,3.5
330,23 septembre 2014,W9,2.3
331,23 septembre 2014,TMC,2.3
332,23 septembre 2014,C8,2.0
333,23 septembre 2014,TF1 Series,1.6
334,23 septembre 2014,NRJ 12,1.4
335,23 septembre 2014,Gulli,1.1
336,23 septembre 2014,Arte,1.0
337,23 septembre 2014,C Star,1.0
338,23 septembre 2014,RMC Story,0.7
339,23 septembre 2014,France 4,0.4
340,23 septembre 2014,RMC Decouverte,0.3
341,23 septembre 2014,6ter,0.3
342,24 septembre 2014,TF1,23.1
343,24 septembre 2014,France 3,13.1
344,24 septembre 2014,France 2,11.2
345,24 septembre 2014,M6,10.3
346,24 septembre 2014,Arte,5.3
347,24 septembre 2014,C8,3.2
348,24 septembre 2014,TMC,2.9
349,24 septembre 2014,France 5,2.1
350,24 septembre 2014,TFX,2.1
351,24 septembre 2014,W9,2.1
352,24 septembre 2014,Gulli,2.0
353,24 septembre 2014,France 4,1.8
354,24 septembre 2014,C Star,1.6
355,24 septembre 2014,RMC Decouverte,1.4
356,24 septembre 2014,TF1 Series,1.3
357,24 septembre 2014,NRJ 12,1.2
358,24 septembre 2014,6ter,0.7
359,24 septembre 2014,France O,0.7
360,24 septembre 2014,RMC Story,0.4
361,25 septembre 2014,TF1,20.6
362,25 septembre 2014,M6,16.9
363,25 septembre 2014,France 2,12.0
364,25 septembre 2014,France 3,8.2
365,25 septembre 2014,Arte,5.3
366,25 septembre 2014,C8,4.1
367,25 septembre 2014,TMC,2.9
368,25 septembre 2014,NRJ 12,2.3
369,25 septembre 2014,W9,2.2
370,25 septembre 2014,France 4,2.1
371,25 septembre 2014,TFX,2.1
372,25 septembre 2014,C Star,1.9
373,25 septembre 2014,France 5,1.6
374,25 septembre 2014,France O,1.4
375,25 septembre 2014,Gulli,1.3
376,25 septembre 2014,RMC Story,1.3
377,25 septembre 2014,RMC Decouverte,0.6
378,25 septembre 2014,TF1 Series,0.5
379,25 septembre 2014,6ter,0.5
380,28 septembre 2014,TF1,21.7
381,28 septembre 2014,France 2,14.4
382,28 septembre 2014,France 3,13.1
383,28 septembre 2014,M6,11.5
384,28 septembre 2014,France 5,4.2
385,28 septembre 2014,Arte,2.7
386,28 septembre 2014,C8,2.5
387,28 septembre 2014,TMC,2.4
388,28 septembre 2014,NRJ 12,2.3
389,28 septembre 2014,W9,2.0
390,28 septembre 2014,Gulli,1.7
391,28 septembre 2014,France 4,1.6
392,28 septembre 2014,TFX,1.3
393,28 septembre 2014,France O,1.1
394,28 septembre 2014,TF1 Series,0.9
395,28 septembre 2014,RMC Story,0.7
396,28 septembre 2014,C Star,0.6
397,28 septembre 2014,6ter,0.6
398,28 septembre 2014,RMC Decouverte,0.3
399,29 septembre 2014,TF1,24.0
400,29 septembre 2014,France 2,18.7
401,29 septembre 2014,M6,13.8
402,29 septembre 2014,France 3,6.6
403,29 septembre 2014,W9,4.4
404,29 septembre 2014,France 5,3.9
405,29 septembre 2014,Arte,3.2
406,29 septembre 2014,TMC,3.0
407,29 septembre 2014,C8,2.5
408,29 septembre 2014,NRJ 12,2.5
409,29 septembre 2014,TFX,1.8
410,29 septembre 2014,France 4,1.3
411,29 septembre 2014,France O,1.0
412,29 septembre 2014,6ter,0.9
413,29 septembre 2014,RMC Story,0.9
414,29 septembre 2014,C Star,0.9
415,29 septembre 2014,RMC Decouverte,0.7
416,29 septembre 2014,TF1 Series,0.5
417,29 septembre 2014,Gulli,0.5
418,30 septembre 2014,TF1,29.3
419,30 septembre 2014,France 3,13.1
420,30 septembre 2014,M6,10.5
421,30 septembre 2014,France 2,7.9
422,30 septembre 2014,France 5,4.9
423,30 septembre 2014,TMC,3
424,30 septembre 2014,W9,2.1
425,30 septembre 2014,C8,2
426,30 septembre 2014,NRJ 12,1.8
427,30 septembre 2014,TFX,1.8
428,30 septembre 2014,TF1 Series,1.5
429,30 septembre 2014,Arte,1.2
430,30 septembre 2014,Gulli,1.2
431,30 septembre 2014,France 4,0.9
432,30 septembre 2014,RMC Decouverte,0.8
433,30 septembre 2014,RMC Story,0.7
434,30 septembre 2014,C Star,0.7
435,30 septembre 2014,France O,0.5
436,30 septembre 2014,6ter,0.4
437,01 octobre 2014,TF1,22.6
438,01 octobre 2014,France 3,15.7
439,01 octobre 2014,France 2,13.5
440,01 octobre 2014,M6,12
441,01 octobre 2014,W9,2.8
442,01 octobre 2014,TMC,2.8
443,01 octobre 2014,France 4,2.4
444,01 octobre 2014,TFX,2.2
445,01 octobre 2014,France 5,2.2
446,01 octobre 2014,Arte,2.1
447,01 octobre 2014,Gulli,1.7
448,01 octobre 2014,TF1 Series,1.6
449,01 octobre 2014,C8,1.6
450,01 octobre 2014,C Star,1.4
451,01 octobre 2014,NRJ 12,1.2
452,01 octobre 2014,RMC Decouverte,1.2
453,01 octobre 2014,France O,0.6
454,01 octobre 2014,6ter,0.5
455,01 octobre 2014,RMC Story,0.4
456,01 octobre 2014,TF1,22.6
457,01 octobre 2014,France 3,15.7
