Programme,n,f
nan,16402,33.78233646399737
1,9510,19.58724666337123
2,6121,12.607101664195088
0,4343,8.945048607678366
3,3203,6.597050584939858
4,1444,2.974130828802109
5,620,1.2769813807876091
12,612,1.2605042016806722
11,600,1.2357884330202669
10,573,1.1801779535343548
13,508,1.0463008732904928
9,473,0.9742132146976437
14,423,0.8712308452792882
8,395,0.8135607184050091
6,341,0.702339759433185
16,335,0.6899818751029824
15,329,0.6776239907727797
7,321,0.6611468116658428
17,302,0.6220135112868677
18,239,0.4922557258197397
19,239,0.4922557258197397
20,208,0.42840665678035916
22,148,0.30482781347833254
21,144,0.2965892239248641
23,142,0.29246992914812986
24,129,0.2656945130993574
25,91,0.18742791234140715
26,75,0.15447355412753336
27,63,0.12975778546712802
28,53,0.1091613115834569
29,34,0.0700280112044818
30,32,0.06590871642774757
31,20,0.04119294776734223
32,18,0.03707365299060801
33,9,0.018536826495304005
34,8,0.01647717910693689
38,4,0.008238589553468446
40,4,0.008238589553468446
37,3,0.006178942165101334
45,3,0.006178942165101334
1 ,3,0.006178942165101334
47,3,0.006178942165101334
35,2,0.004119294776734223
50,2,0.004119294776734223
48,2,0.004119294776734223
44,2,0.004119294776734223
1/9,1,0.0020596473883671114
52,1,0.0020596473883671114
8;1,1,0.0020596473883671114
36,1,0.0020596473883671114
54,1,0.0020596473883671114
60,1,0.0020596473883671114
3;5,1,0.0020596473883671114
42,1,0.0020596473883671114
08,1,0.0020596473883671114
2;8,1,0.0020596473883671114
11;6,1,0.0020596473883671114
41,1,0.0020596473883671114
2;2,1,0.0020596473883671114
3 ,1,0.0020596473883671114
68,1,0.0020596473883671114
72,1,0.0020596473883671114
1;5,1,0.0020596473883671114
