Programme,n,f
20.55,14828,30.63699663216182
21.0,13660,28.223723630653524
20.5,10143,20.957044567036508
20.45,2959,6.113762681047128
21.05,1913,3.952561003326515
20.3,1520,3.140560755387508
20.4,540,1.1157255315192462
20.0,464,0.9586974937498709
20.35,400,0.8264633566809232
18.0,235,0.4855472220500424
21.15,219,0.4524886877828055
19.0,74,0.1528957209859708
20.46,70,0.14463108741916156
20.41,66,0.13636645385235233
21.1,59,0.12190334511043616
19.3,56,0.11570486993532925
20.25,53,0.10950639476022231
20.51,50,0.1033079195851154
20.15,44,0.09091096923490154
19.5,39,0.08058017727639001
20.2,28,0.05785243496766462
20.31,23,0.04752164300915308
17.0,22,0.04545548461745077
19.55,21,0.04338932622574846
20.49,19,0.03925700944234385
21.3,19,0.03925700944234385
23.0,16,0.03305853426723693
20.36,14,0.02892621748383231
20.1,12,0.024793900700427696
19.45,12,0.024793900700427696
21.2,12,0.024793900700427696
18.35,11,0.022727742308725384
22.55,10,0.02066158391702308
21.5,10,0.02066158391702308
20.44,8,0.016529267133618464
22.35,7,0.014463108741916156
22.2,7,0.014463108741916156
21.55,7,0.014463108741916156
22.3,7,0.014463108741916156
23.1,7,0.014463108741916156
18.5,6,0.012396950350213848
18.3,6,0.012396950350213848
19.25,6,0.012396950350213848
22.5,6,0.012396950350213848
22.45,6,0.012396950350213848
22.0,5,0.01033079195851154
23.05,5,0.01033079195851154
19.2,5,0.01033079195851154
22.4,5,0.01033079195851154
21.45,5,0.01033079195851154
19.1,5,0.01033079195851154
21.4,4,0.008264633566809232
22.05,4,0.008264633566809232
21.25,4,0.008264633566809232
21.35,4,0.008264633566809232
0.0,4,0.008264633566809232
23.3,4,0.008264633566809232
20.56,4,0.008264633566809232
20.29,4,0.008264633566809232
20.05,4,0.008264633566809232
19.35,4,0.008264633566809232
0.25,3,0.006198475175106924
17.5,3,0.006198475175106924
19.4,3,0.006198475175106924
1.1,3,0.006198475175106924
19.15,3,0.006198475175106924
16.15,3,0.006198475175106924
0.05,2,0.004132316783404616
18.45,2,0.004132316783404616
21.07,2,0.004132316783404616
0.4,2,0.004132316783404616
23.35,2,0.004132316783404616
20.01,2,0.004132316783404616
1.2,2,0.004132316783404616
18.55,2,0.004132316783404616
1.0,2,0.004132316783404616
21.01,2,0.004132316783404616
23.55,2,0.004132316783404616
23.2,1,0.002066158391702308
0.1,1,0.002066158391702308
16.0,1,0.002066158391702308
0.5,1,0.002066158391702308
1.15,1,0.002066158391702308
22.15,1,0.002066158391702308
15.0,1,0.002066158391702308
20.39,1,0.002066158391702308
20.34,1,0.002066158391702308
20.52,1,0.002066158391702308
23.5,1,0.002066158391702308
1.3,1,0.002066158391702308
1.25,1,0.002066158391702308
1.05,1,0.002066158391702308
0.35,1,0.002066158391702308
20.54,1,0.002066158391702308
16.2,1,0.002066158391702308
17.3,1,0.002066158391702308
23.15,1,0.002066158391702308
0.2,1,0.002066158391702308
