,Date,Chaine,Part_de_marche,Jour,Heure_prgm1,Titre_prgm1,Type_prgm1,Duree_prgm1,Nbre_episodes_prgm1,Age_conseille_prgm1,Heure_prgm2,Titre_prgm2,Type_prgm2,Duree_prgm2,Nbre_episodes_prgm2,Age_conseille_prgm2
0,10 octobre 2014,TF1,24.8,vendredi,20.55,Danse avec les stars,Divertissement,140 mn,NA,NA,23.15,"Danse avec les stars, la suite",Divertissement,50 mn,NA,NA
1,10 octobre 2014,France 2,16.7,vendredi,20.50,Les petits meurtres d'Agatha Christie,Serie TV,100 mn,NA,NA,22.30,Ce soir (ou jamais !),Magazine,110 mn,NA,NA
2,10 octobre 2014,M6,16.3,vendredi,20.50,NCIS,Serie TV,100 mn,5 ,-10 ans,NA,NCIS,Serie TV,NA,5 ,NA
3,10 octobre 2014,France 3,10.9,vendredi,20.45,300 choeurs pour + de vie,Divertissement,130 mn,NA,NA,23.36,Orphelins de la patrie,Documentaire,69 mn,NA,NA
4,10 octobre 2014,W9,3.7,vendredi,20.50,Enquête d'action,Magazine,270 mn,3 ,NA,NA,Enquête d'action,Magazine,NA,3 ,NA
5,10 octobre 2014,C8,3,vendredi,20.50,Des «Bronzés» au «Père Noël» : la folle histoire du Splendid,Documentaire,120 mn,NA,NA,22.50,Au coeur de l'enquête,Magazine,125 mn,NA,NA
6,10 octobre 2014,France 5,2.6,vendredi,20.35,On n'est pas que des cobayes !,Magazine,100 mn,2 ,NA,22.25,C dans l'air,Magazine,70 mn,NA,NA
7,10 octobre 2014,NRJ 12,2.6,vendredi,20.50,Sauveur Giordano,Serie TV,220 mn,3 ,NA,NA,Sauveur Giordano,Serie TV,NA,3 ,NA
8,10 octobre 2014,TMC,1.6,vendredi,20.50,Les experts : Manhattan,Serie TV,110 mn,6 ,-10 ans,NA,Les experts : Manhattan,Serie TV,NA,6 ,NA
9,10 octobre 2014,Arte,1.5,vendredi,20.50,Attentat à la fête de la bière,Telefilm,90 mn,NA,NA,22.20,Ouragan,Documentaire,55 mn,NA,NA
10,10 octobre 2014,France 4,1.3,vendredi,20.45,Teen Wolf,Serie TV,80 mn,3 ,-12 ans,00.00,Studio 4.0,Magazine,55 mn,NA,-12 ans
11,10 octobre 2014,C Star,1.3,vendredi,20.50,Le Zap,Divertissement,160 mn,NA,NA,23.30,Enquête très spéciale,Magazine,60 mn,3 ,-16 ans
12,10 octobre 2014,Gulli,1.1,vendredi,20.45,Mickey Matson et l'ordre secret,Telefilm,95 mn,NA,NA,22.20,Le trésor de Hanna,Telefilm,90 mn,NA,NA
13,10 octobre 2014,TFX,0.9,vendredi,20.50,Vampire Diaries,Serie TV,120 mn,6 ,-10 ans,NA,Vampire Diaries,Serie TV,NA,6 ,NA
14,10 octobre 2014,RMC Decouverte,0.8,vendredi,20.45,Hitler-Mussolini,Documentaire,120 mn,2 ,NA,22.40,Hitler-Staline,Documentaire,120 mn,2 ,NA
15,10 octobre 2014,6ter,0.7,vendredi,20.50,À l'aube de la destruction,Telefilm,170 mn,2 ,NA,00.00,Alerte tsunamis,Serie TV,110 mn,2 ,-10 ans
16,10 octobre 2014,RMC Story,0.4,vendredi,20.40,River Monsters,Documentaire,90 mn,2 ,NA,22.20,Orphan Black,Serie TV,100 mn,2 ,-12 ans
17,11 octobre 2014,TF1,30.4,samedi,20.35,Match amical,Sport,130 mn,NA,NA,22.45,"New York, unité spéciale",Serie TV,100 mn,3 ,-12 ans
18,11 octobre 2014,France 2,16.4,samedi,20.45,C'est votre vie,Divertissement,140 mn,NA,NA,23.05,On n'est pas couché,Talk-Show,195 mn,NA,NA
19,11 octobre 2014,M6,12.6,samedi,20.50,NCIS : Los Angeles,Serie TV,110 mn,5 ,-10 ans,NA,NCIS : Los Angeles,Serie TV,NA,5 ,NA
20,11 octobre 2014,France 3,6.4,samedi,20.45,Désiré Landru,Telefilm,100 mn,NA,-10 ans,22.50,Pourquoi personne me croit ?,Telefilm,110 mn,NA,NA
21,11 octobre 2014,TMC,4.6,samedi,20.50,Les Enfoirés 2014,Divertissement,165 mn,NA,NA,23.35,Les Enfoirés 2013,Divertissement,155 mn,NA,NA
22,11 octobre 2014,France 5,4.5,samedi,20.35,Échappées belles,Magazine,95 mn,NA,NA,22.10,"Norvège, les chemins du Nord",Documentaire,50 mn,NA,NA
23,11 octobre 2014,Arte,3.1,samedi,20.50,"Calamity Jane, légende de l'Ouest",Documentaire,85 mn,NA,NA,22.15,Rocky IV - Le coup de poing américain,Documentaire,50 mn,NA,NA
24,11 octobre 2014,W9,2.8,samedi,20.50,Les Simpson,Serie TV,90 mn,5 ,-10 ans,23.15,Je veux épouser «Harry»,Telerealitee,80 mn,2 ,NA
25,11 octobre 2014,C8,2.6,samedi,20.50,Grégory Lemarchal : la fureur de vivre,Documentaire,115 mn,NA,NA,22.45,"Michael Jackson, 5 ans déjà : la fabuleuse histoire du «Roi de la pop»",Documentaire,110 mn,NA,NA
26,11 octobre 2014,Gulli,2,samedi,20.45,Intervilles international,Divertissement,160 mn,2 ,NA,23.25,Total Wipeout made in USA,Divertissement,45 mn,NA,NA
27,11 octobre 2014,France 4,1.8,samedi,20.45,Fort Boyard,Jeu,210 mn,2 ,NA,00.15,"Monte le son, le live - Printemps de Bourges",Concert,55 mn,NA,NA
28,11 octobre 2014,TFX,1.5,samedi,20.50,Chroniques criminelles,Magazine,250 mn,3 ,NA,NA,Chroniques criminelles,Magazine,NA,3 ,NA
29,11 octobre 2014,NRJ 12,1.3,samedi,20.50,Pièges de stars,Divertissement,120 mn,NA,NA,22.50,Le super bêtisier de l'année,Divertissement,210 mn,2 ,NA
30,11 octobre 2014,RMC Decouverte,0.8,samedi,20.45,Alien Theory,Documentaire,100 mn,5 ,NA,NA,Alien Theory,Documentaire,NA,5 ,NA
31,11 octobre 2014,C Star,0.8,samedi,20.50,One Piece : épisode de Merry,Telefilm,115 mn,NA,-10 ans,22.45,Le Zap choc,Divertissement,120 mn,NA,NA
32,11 octobre 2014,6ter,0.7,samedi,20.50,"Hitler, la folie d'un homme",Documentaire,85 mn,NA,-10 ans,22.15,"Staline, le tyran rouge",Documentaire,80 mn,NA,NA
33,11 octobre 2014,RMC Story,0.5,samedi,20.40,P.J,Serie TV,100 mn,3 ,NA,23.30,Phénomène paranormal,Documentaire,90 mn,2 ,NA
34,12 octobre 2014,France 2,18.2,dimanche,20.45,Inglourious Basterds,Film,155 mn,NA,-12 ans,23.20,"Un jour, un destin",Magazine,100 mn,NA,NA
35,12 octobre 2014,TF1,18.1,dimanche,20.55,"The Dark Knight, le chevalier noir",Film,170 mn,NA,-10 ans,23.45,Esprits criminels,Serie TV,110 mn,2 ,-10 ans
36,12 octobre 2014,M6,14.1,dimanche,20.50,Capital,Magazine,130 mn,NA,NA,23.00,Enquête exclusive,Magazine,200 mn,2 ,NA
37,12 octobre 2014,France 3,13.7,dimanche,20.45,Les enquêtes de Murdoch,Serie TV,100 mn,4 ,NA,NA,Les enquêtes de Murdoch,Serie TV,NA,4 ,NA
38,12 octobre 2014,France 5,5.1,dimanche,20.40,La voiture électrique : pas si écolo !,Documentaire,50 mn,NA,NA,22.26,Trente ans de guerre au nom de Dieu,Documentaire,54 mn,NA,NA
39,12 octobre 2014,C8,3,dimanche,20.50,Je reste !,Film,120 mn,NA,NA,22.50,En quête d'actualité,Magazine,105 mn,NA,NA
40,12 octobre 2014,TMC,2.9,dimanche,20.50,Les experts : Manhattan,Serie TV,110 mn,4 ,-10 ans,NA,Les experts : Manhattan,Serie TV,NA,4 ,NA
